review_id,outcome_id,article_id,study_label,missing_fields,title
"CSR_0208","2","ART_01137","Jani 2011","Effect estimate; CI; Wald-Z","Peritoneal drains in perforated appendicitis without peritonitis: a prospective randomized controlled study"
"CSR_0208","2","ART_01138","Mustafa 2016","Effect estimate; CI; Wald-Z","Comparison of early outcome between patients of open appendectomy with and without drain for perforated appendicitis"
"CSR_0208","2","ART_01139","Stone 1978","Effect estimate; CI; Wald-Z","Abdominal drainage following appendectomy and cholecystectomy"
"CSR_0208","2","ART_01140","Tander 2003","Effect estimate; CI; Wald-Z","The utility of peritoneal drains in children with uncomplicated perforated appendicitis"
"CSR_0208","2","ART_01141","Tran 2023","Effect estimate; CI; Wald-Z","Laparoscopic treatment of appendiceal peritonitis without drainage in children – a prospective randomized clinical trial"
"CSR_0208","4","ART_01144","Dandapat 1992","Effect estimate; CI; Wald-Z","A perforated appendix: should we drain?"
"CSR_0208","4","ART_01145","Haller 1973","Effect estimate; CI; Wald-Z","Peritoneal drainage versus non-drainage for generalized peritonitis from ruptured appendicitis in children: a prospective study"
"CSR_0208","4","ART_01146","Human 2022","Effect estimate; CI; Wald-Z","Laparoscopic appendectomy for complicated appendicitis in children: does the post-operative peritoneal drain make any difference? A pilot prospective randomised controlled trial"
"CSR_0208","4","ART_01147","Jani 2011","Effect estimate; CI; Wald-Z","Peritoneal drains in perforated appendicitis without peritonitis: a prospective randomized controlled study"
"CSR_0208","4","ART_01148","Mustafa 2016","Effect estimate; CI; Wald-Z","Comparison of early outcome between patients of open appendectomy with and without drain for perforated appendicitis"
"CSR_0208","4","ART_01149","Tander 2003","Effect estimate; CI; Wald-Z","The utility of peritoneal drains in children with uncomplicated perforated appendicitis"
"CSR_0208","4","ART_01150","Tran 2023","Effect estimate; CI; Wald-Z","Laparoscopic treatment of appendiceal peritonitis without drainage in children – a prospective randomized clinical trial"
"CSR_0220","2","ART_01179","Ghisi 2016","Effect estimate; CI; Wald-Z","Transversus abdominis plane block for postoperative analgesia in patients undergoing total laparoscopic hysterectomy: a randomized, controlled, observer-blinded trial"
"CSR_0220","2","ART_01181","Kane 2012","Effect estimate; CI; Wald-Z","Randomized trial of transversus abdominal plane (TAP) block at total laparoscopic hysterectomy: effect of regional analgesia on quality of recovery"
"CSR_0220","3","ART_01182","Hutchins 2019","Effect estimate; CI; Wald-Z","Ultrasound-guided subcostal transversus abdominis plane block with liposomal bupivacaine compared to bupivacaine infiltration for patients undergoing robotic-assisted and laparoscopic hysterectomy: a prospective randomized study"
"CSR_0252","1","ART_00485","Marks 2014","Wald-Z","A double-blind, placebo-controlled, parallel-group pilot study of milnacipran for chronic radicular pain (sciatica) associated with lumbosacral disc disease"
"CSR_0252","1","ART_00486","Skljarevski 2009aa","Characteristics","A double-blind, randomized trial of duloxetine versus placebo in the management of chronic low back pain"
"CSR_0252","1","ART_00487","Skljarevski 2009ab","Characteristics","A double-blind, randomized trial of duloxetine versus placebo in the management of chronic low back pain"
"CSR_0252","1","ART_00488","Skljarevski 2009ac","Characteristics","A double-blind, randomized trial of duloxetine versus placebo in the management of chronic low back pain"
"CSR_0296","1","ART_00723","Sezai 2006a","Wald-Z","Efficacy of low-dose continuous infusion of alpha-human atrial natriuretic peptide (hANP) during cardiac surgery: possibility of postoperative left ventricular remodeling effect"
"CSR_0296","1","ART_00727","Voigtländer-Buschmann 2023","Characteristics","Effect of periprocedural furosemide-induced diuresis with matched isotonic intravenous hydration in patients with chronic kidney disease undergoing transcatheter aortic valve implantation"
"CSR_0303","1","ART_00776","Özler 2015","Wald-Z","Comparison of switch-therapy modalities (enoxaparin to rivaroxaban/dabigatran) and enoxaparin monotherapy after hip and knee replacement"
"CSR_0303","1","ART_00782","STARS J-2 2014","Wald-Z","Safety and efficacy of edoxaban, an oral factor Xa inhibitor, for thromboprophylaxis after total hip arthroplasty in Japan and Taiwan"
"CSR_0303","1","ART_00783","STARS J-4 2014","Wald-Z","Safety and efficacy of edoxaban in patients undergoing hip fracture surgery"
"CSR_0303","1","ART_00784","Wing 2020","Z category; Wald-Z","The efficacy and safety of rivaroxaban in preventing deep vein thrombosis after hip replacement"
"CSR_0303","1","ART_00785","Xie 2017","Z category; Wald-Z","Comparison of enoxaparin and rivaroxaban in balance of anti-fibrinolysis and anticoagulation following primary total knee replacement: a pilot study"
"CSR_0303","1","ART_00786","Zhou 2023","Characteristics","Effectiveness of different antithrombotic agents in combination with tranexamic acid for venous thromboembolism prophylaxis and blood management after total knee replacement: a prospective randomized study"
